,Senate District,County,agency,Party,First Name,Last Name,Room,Extension,EA
108,48,Oklahoma,CAAOKC,D,George,Young,518,531,Tanisha Woods
0,10,Osage,UCAP,R,Bill,Coleman,432,581,Cindy Stevens
1,10,Tulsa,CAP Tulsa,R,Bill,Coleman,432,581,Cindy Stevens
2,11,Tulsa,CAP Tulsa,D,Kevin,Matthews,516,598,Gracie Monson
4,12,Tulsa,CAP Tulsa,R,James,Leewright,425,528,Cheryl Boothe
5,15,Cleveland,COCAA,R,Rob,Standridge,418,535,Susan Wallace
7,15,Oklahoma,CAAOKC,R,Rob,Standridge,418,535,Susan Wallace
10,17,Pottawatomie,COCAA,R,Ron,Sharp,412,539,Cindy Sullivan
11,17,Oklahoma,CAAOKC,R,Ron,Sharp,412,539,Cindy Sullivan
13,18,Tulsa,CAP Tulsa,R,Kim,David,421,590,Gayla Guinn
14,18,Wagoner,CARD,R,Kim,David,421,590,Gayla Guinn
15,2,Rogers,CARD,R,Marty,Quinn,419,555,Donna Garlick
17,20,Kingfisher,Opportunities,R,Chuck,Hall,411,628,Kala Plagg
18,22,Canadian,CAAOKC,R,Stephanie,Bice,232,592,Anissa Scott
19,22,Oklahoma,CAAOKC,R,Stephanie,Bice,232,592,Anissa Scott
20,23,Canadian,CAAOKC,R,Lonnie,Paxton,238,537,Roxanne Blystone
21,24,Tulsa,CAP Tulsa,R,Darrell,Weaver,526,569,Tonya Lewis
22,25,Tulsa,CAP Tulsa,R,Joe,Newhouse,414,675,Brian Barton
23,30,Oklahoma,CAAOKC,D,Julia,Kirt,514,636,Donna Ambler
25,31,Comanche,GPIF,R,Chris,Kidd,427,563,Suzanne Earnest
26,31,Stephens,Delta,R,Chris,Kidd,427,563,Suzanne Earnest
27,4,Le Flore,KI BOIS,R,Mark,Allen,234,576,Grace McMillan
28,40,Oklahoma,CAAOKC,D,Carri,Hicks,515,543,Kandi Hoehner
29,42,Oklahoma,CAAOKC,R,Brenda,Stanley,529,584,Denise Manek
30,7,Okfuskee,DFCAF,R,Larry,Boggs,530,604,Anita Bell
31,9,Cherokee,NEOCAA,R,Dewayne,Pemberton,429,533,Peggy White
32,11,Osage,UCAP,D,Kevin,Matthews,516,598,Gracie Monson
33,34,Tulsa,CAP Tulsa,D,JJ,Dossett,515,566,Pam King
36,33,Tulsa,CAP Tulsa,R,Nathan,Dahm,526,551,Sharon Brown
37,16,Cleveland,COCAA,D,Mary,Boren,514,553,Ms. Trena Byas
40,17,Cleveland,COCAA,R,Ron,Sharp,412,539,Cindy Sullivan
41,24,Cleveland,COCAA,R,Darrell,Weaver,526,569,Tonya Lewis
42,28,Pottawatomie,COCAA,R,Jason,Smalley,420,547,Cali Tonnu
44,48,Oklahoma,CAAOKC,D,George,Young,518,531,Tanisha Woods
46,36,Wagoner,CARD,R,John,Haste,531,602,Laurie Nicoll
47,29,Rogers,CARD,R,Julie,Daniels,415,634,Kathy Townsend
48,34,Rogers,CARD,D,JJ,Dossett,515,566,Pam King
49,26,Kingfisher,Opportunities,R,Darcy,Jech,417,545,Jamie Hudson
51,41,Oklahoma,CAAOKC,R,Adam,Pugh,528,622,A.J. Mallory
52,44,Canadian,CAAOKC,D,Michael,Brooks,513,557,Annie Menz
53,37,Tulsa,CAP Tulsa,D,Allison,Ikley-Freeman,524,600,Audra Cross
57,32,Comanche,GPIF,R,John Michael,Montgomery,529,567,Jessica McClung
58,43,Stephens,Delta,R,Paul,Scott,428,522,Audra Brice
59,5,Le Flore,KI BOIS,R,Joseph,Silk,416,614,NA
61,47,Oklahoma,CAAOKC,R,Greg,Treat,422,632,Christina Holcomb
62,8,Okfuskee,DFCAF,R,Roger,Thompson,537,588,Susan Cochran
63,18,Cherokee,NEOCAA,R,Kim,David,421,590,Gayla Guinn
73,43,Cleveland,COCAA,R,Paul,Scott,428,522,Audra Brice
84,45,Canadian,CAAOKC,R,Paul,Rosino,235,618,Debbie Blair
105,45,Cleveland,COCAA,R,Paul,Rosino,235,618,Debbie Blair
109,36,Tulsa,CAP Tulsa,R,John,Haste,531,602,Laurie Nicoll
162,35,Tulsa,CAP Tulsa,R,Gary,Stanislawski,431,624,Shannon Sharpton
231,44,Oklahoma,CAAOKC,D,Michael,Brooks,513,557,Annie Menz
258,39,Tulsa,CAP Tulsa,R,Dave,Rader,237,620,Celia Scott
263,45,Oklahoma,CAAOKC,R,Paul,Rosino,235,618,Debbie Blair
295,46,Oklahoma,CAAOKC,D,Kay,Floyd,517,610,Amy Hicks
